0_1004	107 60 0 0.000000 0.000000 0 0 0 1 0 0
0_100	96 99 0 0.000000 0.000000 0 0 0 0 0 0
0_115	0 119 0 0.000000 0.000000 0 0 0 0 0 0
0_116	0 117 0 0.000000 0.000000 0 0 0 0 0 0
0_117	0 116 0 0.000000 0.000000 0 0 0 0 0 0
0_119	0 115 0 0.000000 0.000000 0 0 0 0 0 0
0_123	124 122 0 0.000000 0.000000 0 0 0 0 0 0
0_125	126 409 0 0.000000 0.000000 0  0 0 0 0
0_138	139 137 0 0.000000 0.000000 0 0 0 0 0 0
0_143	144 142 0 0.000000 0.000000 0 0 0 1 0 1
0_150_LT	135 0 0 0.000000 0.000000  0 0 0 0 0
0_150	135 150 0 0.000000 0.000000  0 0 0 0 0
0_152	148 151 0 0.000000 0.000000 0 0 0 0 0 0
0_153	132 406 0 0.000000 0.000000  0 0 0 0 0
0_176	180 178 0 0.000000 0.000000 0 0 0 0 0 0
0_177	180 179 0 0.000000 0.000000 0 0 0 0 0 0
0_178	160 195 0 0.000000 0.000000 0 0 0 0 0 0
0_179	160 196 0 0.000000 0.000000 0 0 0 0 0 0
0_182	183 182 0 0.000000 0.000000 0 0 0 0 0 0
0_184	207 207 0 0.000000 0.000000 0 0 0 0 0 0
0_416	416 852 0 0.000000 0.000000 0 0 0 1  0
0_190	190 189 0 0.000000 0.000000 0 0 0 1  0
0_204	183 183 0 0.000000 0.000000 0 0 0 0 0 0
0_205	183 204 0 0.000000 0.000000 0 0 0 0 0 0
0_206	183 205 0 0.000000 0.000000 0 0 0 0 0 0
0_208	207 206 0 0.000000 0.000000 0 0 0 0 0 0
0_224	225 244 0 0.000000 0.000000 0 0 0 0 0 0
0_226	227 297 0 0.000000 0.000000 0 0 0 0 0 0
0_242	223 242 0 0.000000 0.000000 0 0 0 0 0 0
0_247	72 237 0 0.000000 0.000000 0 0 0 0 0 0
0_281	72 238 0 0.000000 0.000000 0 0 0 0 0 0
0_294	127 299 0 0.000000 0.000000 0 0 0 1  0
0_300	302 301 0 0.000000 0.000000 0 0 0 0 0 0
0_301	302 302 0 0.000000 0.000000 0 0 0 0 0 0
0_303	288 238 0 0.000000 0.000000 0 0 0 1  0
0_30_LT	31 279 0 0.000000 0.000000 0 0 0 0 0 0
0_30	31 30 0 0.000000 0.000000 0 0 0 0 0 0
0_312	310 291 0 0.000000 0.000000 0 0 0 0 0 0
0_313	314 291 0 0.000000 0.000000 0 0 0 0 0 0
0_322	236 325 0 0.000000 0.000000 0 0 0 0 0 0
0_325	326 235 0 0.000000 0.000000 0 0 0 0 0 0
0_332	333 291 0 0.000000 0.000000 0 0 0 0 0 0
0_339	345 338 0 0.000000 0.000000 0 0 0 0 0 0
0_340	344 341 0 0.000000 0.000000 0 0 0 0 0 0
0_341	344 339 0 0.000000 0.000000 0 0 0 0 0 0
0_342	344 343 0 0.000000 0.000000 0 0 0 0 0 0
0_343	344 338 0 0.000000 0.000000 0 0 0 0 0 0
0_366	0 365 0 0.000000 0.000000 0 0 0 0 0 0
0_36	395 404 0 0.000000 0.000000 0 0 0 1  0
0_391_LT	432 392 0 0.000000 0.000000 0 0 0 1  0
0_391	432 391 0 0.000000 0.000000 0 0 0 1  0
0_39	404 0 0 0.000000 0.000000 0 0 0 0 0 0
0_400_LT	402 848 0 0.000000 0.000000 0 0 0 1  0
0_400	402 400 0 0.000000 0.000000 0 0 0 0 0 0
0_401_LT	395 0 0 0.000000 0.000000 0 0 0 1  0
0_401	395 401 0 0.000000 0.000000 0 0 0 1  0
0_409_LT	126 408 0 0.000000 0.000000 0  0 0 0 0
0_409	126 409 0 0.000000 0.000000 0  0 0 0 0
0_410	789 787 0 0.000000 0.000000 0 0 0 1  0
0_421	573 422 0 0.000000 0.000000 0 0 0 1  0
0_423	425 424 0 0.000000 0.000000 0 0 0  0 0
0_442	443 291 0 0.000000 0.000000 0 0 0 1  0
0_449	456 291 0 0.000000 0.000000 0 0 0 1  0
0_450	457 291 0 0.000000 0.000000 0 0 0 1  0
0_451	455 291 0 0.000000 0.000000 0 0 0 1  0
0_452	459 291 0 0.000000 0.000000 0 0 0 1  0
