20061	20037;20033;20045;20382;20383;20041;20029;20059;20055;20048;20432;20050;20433;20385;0;0;0;0;0;0
20063	100;45;48;530;527;99;406;65;153;63;0;0;0;0;0;0;0;0;0;0
20073	551;549;550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20074	755;758;759;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20076	389;390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20187	20112;20115;20117;20119;20122;20125;20128;20134;20137;20178;20180;20183;20188;20384;0;0;0;0;0;0
20194	462;20038;20111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20195	334;20034;20114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20196	461;20051;20179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20197	441;20030;20127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20198	135;560;20047;20182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20199	684;20060;20133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20200	568;20052;20184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20201	502;20056;20136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20234	304;20205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20307	560;20047;20182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20308	135;458;20046;20180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20354	33;20030;20127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20386	20271;20272;20273;20274;20275;20276;20277;20278;20279;0;0;0;0;0;0;0;0;0;0;0
20387	20364;20365;20366;20367;20368;20369;20370;20371;20372;0;0;0;0;0;0;0;0;0;0;0
20406	282;304;20205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20409	20218;20217;20221;20220;20223;20219;20216;20222;20224;0;0;0;0;0;0;0;0;0;0;0
20410	82;346;83;249;282;304;20205;0;0;0;0;0;0;0;0;0;0;0;0;0
20419	34;20056;20136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20420	34;20182;20047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20421	34;20382;20119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20424	20413;305;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20425	20206;20414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20426	303;20422;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20427	20423;20204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20428	299;20417;20418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20429	238;20415;20416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20430	34;135;560;20047;20182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20431	20119;20382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20438	20282;20281;20285;20284;20287;20283;20280;20286;20288;0;0;0;0;0;0;0;0;0;0;0
20467	20466;20462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20497	20017;20496;20498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20528	20121;20527;20529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20559	20096;20558;20560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20600	20599;20598;20597;20596;20595;20594;20593;20592;20591;20561;20609;20608;20607;20606;20605;20604;20603;20602;20601;0
367	132;131;66;64;67;68;69;107;390;344;496;498;0;0;0;0;0;0;0;0
388	141;142;143;511;510;509;0;0;0;0;0;0;0;0;0;0;0;0;0;0
394	210;382;660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
405	402;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
412	141;142;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
494	493;151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
507	279;392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
519	82;346;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
524	275;278;272;276;273;277;274;803;0;0;0;0;0;0;0;0;0;0;0;0
612	260;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
619	190;189;191;62;183;61;96;139;144;521;416;606;605;497;498;20062;20202;0;0;0
626	108;622;109;486;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
646	645;631;628;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
669	209;659;235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
696	454;333;559;459;455;458;457;456;685;501;460;0;0;0;0;0;0;0;0;0
735	734;733;731;730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
783	157;158;159;231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
785	672;671;673;670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
